"Time","CPU"
"15:06:10","28.89"
"15:06:16","18.22"
"15:06:22","11.25"
"15:06:28","23.38"
"15:06:34","80.4"
"15:06:40","41.69"
"15:06:46","29.34"
"15:06:52","20.54"
"15:06:58","96.93"
"15:07:04","23.93"
"15:07:10","44.68"
"15:07:16","34.8"
"15:07:22","17.5"
"15:07:28","91.83"
"15:07:34","59.85"
"15:07:40","41.29"
"15:07:46","67.37"
"15:07:52","42.1"
"15:07:58","63.95"
"15:08:04","41.33"
"15:08:10","49.32"
"15:08:16","33.57"
"15:08:22","33.68"
"15:08:28","36.18"
"15:08:34","40.66"
"15:08:40","25.44"
"15:08:46","21.93"
"15:08:52","19.34"
"15:08:58","32.07"
"15:09:04","19.62"
"15:09:10","5.54"
"15:09:16","25.1"
"15:09:22","14.72"
"15:09:28","21.79"
"15:09:34","14.26"
"15:09:40","14.93"
"15:09:46","31.18"
"15:09:52","7.58"
"15:09:58","31.97"
"15:10:04","17.65"
"15:10:10","23.33"
"15:10:16","15.61"
"15:10:22","66.75"
"15:10:28","56.6"
"15:10:35","77.68"
"15:10:41","59.39"
"15:10:47","72.98"
"15:10:53","60.13"
"15:10:59","59.62"
"15:11:05","65.96"
"15:11:11","54.3"
"15:11:17","54.95"
"15:11:23","49.08"
"15:11:29","34.02"
"15:11:35","29.51"
"15:11:41","31.47"
"15:11:47","27.31"
"15:11:53","18.88"
"15:11:59","5.72"
"15:12:05","28.11"
"15:12:11","18.76"
"15:12:17","34.52"
"15:12:23","23.62"
"15:12:29","40.52"
"15:12:35","12.98"
"15:12:41","39.93"
"15:12:47","71.56"
"15:12:53","25.37"
"15:12:59","27.06"
"15:13:05","16.48"
"15:13:11","25.83"
"15:13:17","29.59"
"15:13:23","40.07"
"15:13:29","34.53"
"15:13:35","22.92"
"15:13:41","17.54"
"15:13:47","24.35"
"15:13:53","17.02"
"15:13:59","4.92"
"15:14:05","16.84"
