"Time","CPU"
"17:56:07","38.38"
"17:56:13","62.35"
"17:56:19","51.62"
"17:56:25","35.74"
"17:56:31","44.76"
"17:56:37","60.96"
"17:56:43","39.05"
"17:56:49","41.01"
"17:56:55","33.38"
"17:57:01","40.25"
"17:57:07","49.7"
"17:57:13","34.12"
"17:57:19","39.91"
"17:57:25","38.39"
"17:57:31","44.29"
"17:57:37","45.29"
"17:57:43","51.23"
"17:57:49","35.83"
"17:57:56","42.33"
"17:58:02","52.11"
"17:58:08","41.32"
"17:58:14","43.95"
"17:58:20","75.8"
"17:58:26","58.85"
"17:58:32","37.27"
"17:58:38","39.73"
"17:58:44","31.77"
"17:58:50","57.93"
"17:58:56","59.76"
"17:59:02","60.86"
"17:59:08","38.43"
"17:59:14","23.05"
"17:59:20","29.23"
"17:59:26","31.23"
"17:59:32","36.51"
"17:59:38","26.25"
"17:59:44","41.29"
"17:59:50","39.82"
"17:59:56","56.89"
"18:00:02","56.8"
"18:00:08","34.92"
"18:00:14","31.18"
"18:00:20","49.63"
"18:00:26","39.31"
"18:00:32","43.82"
"18:00:38","42.43"
"18:00:44","32.2"
"18:00:50","57.7"
"18:00:56","77.55"
"18:01:02","97.31"
"18:01:09","77.43"
"18:01:15","38.87"
"18:01:21","53.48"
"18:01:27","42.52"
"18:01:33","40.91"
"18:01:39","44.7"
"18:01:45","26.54"
"18:01:51","32.76"
"18:01:57","39.02"
"18:02:03","36.89"
"18:02:09","67.29"
"18:02:15","42.59"
"18:02:21","38.7"
"18:02:27","32.77"
"18:02:33","38.15"
"18:02:39","51.94"
"18:02:45","49.38"
"18:02:51","20.36"
"18:02:57","18.79"
"18:03:03","32.21"
"18:03:09","24.65"
"18:03:15","15.53"
"18:03:21","24.58"
"18:03:27","21.5"
"18:03:33","24.81"
"18:03:39","17.45"
"18:03:45","20.87"
"18:03:51","32.51"
"18:03:57","25.89"
"18:04:03","17.59"
